"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"1590";"1";"Valley Gazelle";"NEDERLANDSTALIG  A-Z";"0";;"Valley Gazelle";"Valley Gazelle";"Valley Gazelle";"valley-gazelle";
"1591";"1";"The Regento Stars";"NEDERLANDSTALIG  A-Z";"0";;"The Regento Stars";"The Regento Stars";"The Regento Stars";"the-regento-stars";
"1592";"1";"Yvonne & Leo";"NEDERLANDSTALIG  A-Z";"0";;"Yvonne & Leo";"Yvonne & Leo";"Yvonne & Leo";"yvonne-leo";
"1593";"1";"Lardy Irene";"NEDERLANDSTALIG  A-Z";"0";;"Lardy Irene";"Lardy Irene";"Lardy Irene";"lardy-irene";
"1594";"1";"Barracudas  Trio";"DUITSTALIG";"0";;"Barracudas  Trio";"Barracudas  Trio";"Barracudas  Trio";"barracudas-trio";
"1595";"1";"TEXAS COWBOYS  De";"NEDERLANDSTALIG  A-Z";"0";;"TEXAS COWBOYS  De";"TEXAS COWBOYS  De";"TEXAS COWBOYS  De";"texas-cowboys-de";
"1596";"1";"ANGELIQUE";"DUITSTALIG";"0";;"ANGELIQUE";"ANGELIQUE";"ANGELIQUE";"angelique";
"1597";"1";"Four Tops";"ENGELSTALIG";"0";;"Four Tops";"Four Tops";"Four Tops";"four-tops";
"1598";"1";"Campbell  Glen";"ENGELSTALIG";"0";;"Campbell  Glen";"Campbell  Glen";"Campbell  Glen";"campbell-glen";
"1599";"1";"LED ZEPPELIN";"ENGELSTALIG";"0";;"LED ZEPPELIN";"LED ZEPPELIN";"LED ZEPPELIN";"led-zeppelin";
"1600";"1";"ZEN";"ENGELSTALIG";"0";;"ZEN";"ZEN";"ZEN";"zen";
"1601";"1";"Wonder  Stevie";"ENGELSTALIG";"0";;"Wonder  Stevie";"Wonder  Stevie";"Wonder  Stevie";"wonder-stevie";
"1602";"1";"ROAD";"ENGELSTALIG";"0";;"ROAD";"ROAD";"ROAD";"road";
"1603";"1";"Swiebertje";"NEDERLANDSTALIG  A-Z";"0";;"Swiebertje";"Swiebertje";"Swiebertje";"swiebertje";
"1604";"1";"Hunters  The";"ENGELSTALIG";"0";;"Hunters  The";"Hunters  The";"Hunters  The";"hunters-the";
"1605";"1";"DAM  Jacky van";"NEDERLANDSTALIG  A-Z";"0";;"DAM  Jacky van";"DAM  Jacky van";"DAM  Jacky van";"dam-jacky-van";
"1606";"1";"ANNETTE";"NEDERLANDSTALIG  A-Z";"0";;"ANNETTE";"ANNETTE";"ANNETTE";"annette";
"1607";"1";"BIJOU";"NEDERLANDSTALIG  A-Z";"0";;"BIJOU";"BIJOU";"BIJOU";"bijou";
"1608";"1";"LES BAROQUES";"ENGELSTALIG";"0";;"LES BAROQUES";"LES BAROQUES";"LES BAROQUES";"les-baroques";
"1609";"1";"Guess Who  The";"ENGELSTALIG";"0";;"Guess Who  The";"Guess Who  The";"Guess Who  The";"guess-who-the";
"1610";"1";"Shirelles  The";"ENGELSTALIG";"0";;"Shirelles  The";"Shirelles  The";"Shirelles  The";"shirelles-the";
"1611";"1";"Staigerpaip  Bertus";"NEDERLANDSTALIG  A-Z";"0";;"Staigerpaip  Bertus";"Staigerpaip  Bertus";"Staigerpaip  Bertus";"staigerpaip-bertus";
"1612";"1";"Weg  John van de";"NEDERLANDSTALIG  A-Z";"0";;"Weg  John van de";"Weg  John van de";"Weg  John van de";"weg-john-van-de";
"1613";"1";"Majcherek Bruno";"DUITSTALIG";"0";;"Majcherek Bruno";"Majcherek Bruno";"Majcherek Bruno";"majcherek-bruno";
"1614";"1";"Schilling  Peter";"DUITSTALIG";"0";;"Schilling  Peter";"Schilling  Peter";"Schilling  Peter";"schilling-peter";
"1615";"1";"REED  Lou";"ENGELSTALIG";"0";;"REED  Lou";"REED  Lou";"REED  Lou";"reed-lou";
"1616";"1";"JAY & the Amercans";"ENGELSTALIG";"0";;"JAY & the Amercans";"JAY & the Amercans";"JAY & the Amercans";"jay-the-amercans";
"1617";"1";"Rebel  Cockney";"ENGELSTALIG";"0";;"Rebel  Cockney";"Rebel  Cockney";"Rebel  Cockney";"rebel-cockney";
"1618";"1";"Petrel  Peter";"DUITSTALIG";"0";;"Petrel  Peter";"Petrel  Peter";"Petrel  Peter";"petrel-peter";
"1619";"1";"TEUNI";"NEDERLANDSTALIG  A-Z";"0";;"TEUNI";"TEUNI";"TEUNI";"teuni";
"1620";"1";"Dam  Arie van";"NEDERLANDSTALIG  A-Z";"0";;"Dam  Arie van";"Dam  Arie van";"Dam  Arie van";"dam-arie-van";
"1621";"1";"Breck  Freddy";"NEDERLANDSTALIG  A-Z";"0";;"Breck  Freddy";"Breck  Freddy";"Breck  Freddy";"breck-freddy";
"1622";"1";"Baars  Gonnie";"NEDERLANDSTALIG  A-Z";"0";;"Baars  Gonnie";"Baars  Gonnie";"Baars  Gonnie";"baars-gonnie";
"1623";"1";"LLOYD  JAMES";"DUITSTALIG";"0";;"LLOYD  JAMES";"LLOYD  JAMES";"LLOYD  JAMES";"lloyd-james";
