"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"1970";"1";"The Del Sinchak Band";"Artiest";"0";"The Del Sinchak Band";"The Del Sinchak Band";"The Del Sinchak Band";"The Del Sinchak Band";"the-del-sinchak-band";
"1971";"1";"The Jerry Intihar Orchestra";"Artiest";"0";"The Jerry Intihar Orchestra";"The Jerry Intihar Orchestra";"The Jerry Intihar Orchestra";"The Jerry Intihar Orchestra";"the-jerry-intihar-orchestra";
"1972";"1";"Hank Haller ensemble";"Artiest";"0";"Hank Haller ensemble";"Hank Haller ensemble";"Hank Haller ensemble";"Hank Haller ensemble";"hank-haller-ensemble";
"1973";"1";"Bob Doszak";"Artiest";"0";"Bob Doszak";"Bob Doszak";"Bob Doszak";"Bob Doszak";"bob-doszak";
"1974";"1";"The Frank Tomsic ensemble";"Artiest";"0";"The Frank Tomsic ensemble";"The Frank Tomsic ensemble";"The Frank Tomsic ensemble";"The Frank Tomsic ensemble";"the-frank-tomsic-ensemble";
"1975";"1";"Eddie Rodick";"Artiest";"0";"Eddie Rodick";"Eddie Rodick";"Eddie Rodick";"Eddie Rodick";"eddie-rodick";
"1976";"1";"Frankie Spetich";"Artiest";"0";"Frankie Spetich";"Frankie Spetich";"Frankie Spetich";"Frankie Spetich";"frankie-spetich";
"1977";"1";"Joe Labotz";"Artiest";"0";"Joe Labotz";"Joe Labotz";"Joe Labotz";"Joe Labotz";"joe-labotz";
"1978";"1";"Ron Sluga";"Artiest";"0";"Ron Sluga";"Ron Sluga";"Ron Sluga";"Ron Sluga";"ron-sluga";
"1979";"1";"JB SWart-Aluminium single koffer ";"Artiest";"0";"JB SWart-Aluminium single koffer ";"JB SWart-Aluminium single koffer ";"JB SWart-Aluminium single koffer ";"JB SWart-Aluminium single koffer ";"jb-swart-aluminium-single-koffer";
"1980";"1";"Silvia Swart";"Artiest";"0";"Silvia Swart";"Silvia Swart";"Silvia Swart";"Silvia Swart";"silvia-swart";
"1981";"1";"Ricky King ";"Artiest";"0";"Ricky King ";"Ricky King ";"Ricky King ";"Ricky King ";"ricky-king";
"1982";"1";"Lieutenant Pigeon";"Artiest";"0";"Lieutenant Pigeon";"Lieutenant Pigeon";"Lieutenant Pigeon";"Lieutenant Pigeon";"lieutenant-pigeon";
"1983";"1";"Dan The Banjo Man";"Artiest";"0";"Dan The Banjo Man";"Dan The Banjo Man";"Dan The Banjo Man";"Dan The Banjo Man";"dan-the-banjo-man";
"1984";"1";"WHistling Jack Smith";"Artiest";"0";"WHistling Jack Smith";"WHistling Jack Smith";"WHistling Jack Smith";"WHistling Jack Smith";"whistling-jack-smith";
"1985";"1";"Billy Vaughn";"Artiest";"0";"Billy Vaughn";"Billy Vaughn";"Billy Vaughn";"Billy Vaughn";"billy-vaughn";
"1986";"1";"Tina York";"Artiest";"0";"Tina York";"Tina York";"Tina York";"Tina York";"tina-york";
"1987";"1";"Peggy March";"Artiest";"0";"Peggy March";"Peggy March";"Peggy March";"Peggy March";"peggy-march";
"1988";"1";"Wencke Myhre";"Artiest";"0";"Wencke Myhre";"Wencke Myhre";"Wencke Myhre";"Wencke Myhre";"wencke-myhre";
"1989";"1";"Artiest Nicki";"Artiest";"0";"Artiest Nicki";"Artiest Nicki";"Artiest Nicki";"Artiest Nicki";"artiest-nicki";
"1990";"1";"Michael Holm";"Artiest";"0";"Michael Holm";"Michael Holm";"Michael Holm";"Michael Holm";"michael-holm";
"1991";"1";"Chris Roberts";"Artiest";"0";"Chris Roberts";"Chris Roberts";"Chris Roberts";"Chris Roberts";"chris-roberts";
"1992";"1";"BERND SPIER";"Artiest";"0";"BERND SPIER";"BERND SPIER";"BERND SPIER";"BERND SPIER";"bernd-spier";
"1993";"1";"PETER ORLOFF";"Artiest";"0";"PETER ORLOFF";"PETER ORLOFF";"PETER ORLOFF";"PETER ORLOFF";"peter-orloff";
"1994";"1";"PETER OFRLOFF";"Artiest";"0";"PETER OFRLOFF";"PETER OFRLOFF";"PETER OFRLOFF";"PETER OFRLOFF";"peter-ofrloff";
"1995";"1";"PETER OFLOFF";"Artiest";"0";"PETER OFLOFF";"PETER OFLOFF";"PETER OFLOFF";"PETER OFLOFF";"peter-ofloff";
"1996";"1";"HEIN SIMONS";"Artiest";"0";"HEIN SIMONS";"HEIN SIMONS";"HEIN SIMONS";"HEIN SIMONS";"hein-simons";
"1997";"1";"HEINTJE";"Artiest";"0";"HEINTJE";"HEINTJE";"HEINTJE";"HEINTJE";"heintje";
"1998";"1";"Artiest NICOLE";"Artiest";"0";"Artiest NICOLE";"Artiest NICOLE";"Artiest NICOLE";"Artiest NICOLE";"artiest-nicole";
"1999";"1";"Artiest NINA MIKE";"Artiest";"0";"Artiest NINA MIKE";"Artiest NINA MIKE";"Artiest NINA MIKE";"Artiest NINA MIKE";"artiest-ninamike";
"2000";"1";"PETER HINNEN ";"Artiest";"0";"PETER HINNEN ";"PETER HINNEN ";"PETER HINNEN ";"PETER HINNEN ";"peter-hinnen";
"2001";"1";"PETER KENT ";"Artiest";"0";"PETER KENT ";"PETER KENT ";"PETER KENT ";"PETER KENT ";"peter-kent";
"2002";"1";"THE WALKERS";"Artiest";"0";"THE WALKERS";"THE WALKERS";"THE WALKERS";"THE WALKERS";"the-walkers";
"2003";"1";"CHRIS ANDREWS";"Artiest";"0";"CHRIS ANDREWS";"CHRIS ANDREWS";"CHRIS ANDREWS";"CHRIS ANDREWS";"chris-andrews";
"2004";"1";"Artiest FERRARI";"Artiest";"0";"Artiest FERRARI";"Artiest FERRARI";"Artiest FERRARI";"Artiest FERRARI";"artiest-ferrari";
"2005";"1";"THE TREMELOES";"Artiest";"0";"THE TREMELOES";"THE TREMELOES";"THE TREMELOES";"THE TREMELOES";"the-tremeloes";
