"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"2933";"1";"ADERA S ";"Artiest";"0";"ADERA S ";"ADERA S ";"ADERA S ";"ADERA S ";"adera-s";
"2934";"1";"Will Tura";"Artiest";"0";"Will Tura";"Will Tura";"Will Tura";"Will Tura";"will-tura";
"2935";"1";"Johnny Lion";"Artiest";"0";"Johnny Lion";"Johnny Lion";"Johnny Lion";"Johnny Lion";"johnny-lion";
"2936";"1";"Rob de Nijs Philips 6845048";"Artiest";"0";"Rob de Nijs Philips 6845048";"Rob de Nijs Philips 6845048";"Rob de Nijs Philips 6845048";"Rob de Nijs Philips 6845048";"rob-de-nijs-philips-6845048";
"2937";"1";"Rein de Vries";"Artiest";"0";"Rein de Vries";"Rein de Vries";"Rein de Vries";"Rein de Vries";"rein-de-vries";
"2938";"1";"De Kapers";"Artiest";"0";"De Kapers";"De Kapers";"De Kapers";"De Kapers";"de-kapers";
"2939";"1";"Dimitri van Tooren";"Artiest";"0";"Dimitri van Tooren";"Dimitri van Tooren";"Dimitri van Tooren";"Dimitri van Tooren";"dimitri-van-tooren";
"2940";"1";"Dimitri van Toren";"Artiest";"0";"Dimitri van Toren";"Dimitri van Toren";"Dimitri van Toren";"Dimitri van Toren";"dimitri-van-toren";
"2941";"1";"de Esperando s";"Artiest";"0";"de Esperando s";"de Esperando s";"de Esperando s";"de Esperando s";"de-esperando-s";
"2942";"1";"the Inventions";"Artiest";"0";"the Inventions";"the Inventions";"the Inventions";"the Inventions";"the-inventions";
"2943";"1";"Duo Onbekend";"Artiest";"0";"Duo Onbekend";"Duo Onbekend";"Duo Onbekend";"Duo Onbekend";"duo-onbekend";
"2944";"1";"Dimitri van Toren Flairck";"Artiest";"0";"Dimitri van Toren Flairck";"Dimitri van Toren Flairck";"Dimitri van Toren Flairck";"Dimitri van Toren Flairck";"dimitri-van-torenflairck";
"2945";"1";"Artiest Ideke";"Artiest";"0";"Artiest Ideke";"Artiest Ideke";"Artiest Ideke";"Artiest Ideke";"artiest-ideke";
"2946";"1";"De JEVENTA S";"Artiest";"0";"De JEVENTA S";"De JEVENTA S";"De JEVENTA S";"De JEVENTA S";"de-jeventa-s";
"2947";"1";"1 Trio HORSTMAN";"Artiest";"0";"1 Trio HORSTMAN";"1 Trio HORSTMAN";"1 Trio HORSTMAN";"1 Trio HORSTMAN";"1-trio-horstman";
"2948";"1";"2 De Four Tak";"Artiest";"0";"2 De Four Tak";"2 De Four Tak";"2 De Four Tak";"2 De Four Tak";"2-de-four-tak";
"2949";"1";"3 Trio Horstman";"Artiest";"0";"3 Trio Horstman";"3 Trio Horstman";"3 Trio Horstman";"3 Trio Horstman";"3-trio-horstman";
"2950";"1";"4 De Klokkenbaaien";"Artiest";"0";"4 De Klokkenbaaien";"4 De Klokkenbaaien";"4 De Klokkenbaaien";"4 De Klokkenbaaien";"4-de-klokkenbaaien";
"2951";"1";"5 Jantje The White Comets";"Artiest";"0";"5 Jantje The White Comets";"5 Jantje The White Comets";"5 Jantje The White Comets";"5 Jantje The White Comets";"5-jantjethe-white-comets";
"2952";"1";"6 Johnny Mary";"Artiest";"0";"6 Johnny Mary";"6 Johnny Mary";"6 Johnny Mary";"6 Johnny Mary";"6-johnnymary";
"2953";"1";"7 De Westermont Vijf";"Artiest";"0";"7 De Westermont Vijf";"7 De Westermont Vijf";"7 De Westermont Vijf";"7 De Westermont Vijf";"7-de-westermont-vijf";
"2954";"1";"8 Clara en Jo";"Artiest";"0";"8 Clara en Jo";"8 Clara en Jo";"8 Clara en Jo";"8 Clara en Jo";"8-clara-en-jo";
"2955";"1";"9 Armand";"Artiest";"0";"9 Armand";"9 Armand";"9 Armand";"9 Armand";"9-armand";
"2956";"1";"10 De Returns";"Artiest";"0";"10 De Returns";"10 De Returns";"10 De Returns";"10 De Returns";"10-de-returns";
"2957";"1";"11 Klein Bobby";"Artiest";"0";"11 Klein Bobby";"11 Klein Bobby";"11 Klein Bobby";"11 Klein Bobby";"11-klein-bobby";
"2958";"1";"12 De Teddy Boys";"Artiest";"0";"12 De Teddy Boys";"12 De Teddy Boys";"12 De Teddy Boys";"12 De Teddy Boys";"12-de-teddy-boys";
"2959";"1";"13 De Limbra Zusjes";"Artiest";"0";"13 De Limbra Zusjes";"13 De Limbra Zusjes";"13 De Limbra Zusjes";"13 De Limbra Zusjes";"13-de-limbra-zusjes";
"2960";"1";"14 De Four Tak";"Artiest";"0";"14 De Four Tak";"14 De Four Tak";"14 De Four Tak";"14 De Four Tak";"14-de-four-tak";
"2961";"1";"15 De Four Tak";"Artiest";"0";"15 De Four Tak";"15 De Four Tak";"15 De Four Tak";"15 De Four Tak";"15-de-four-tak";
"2962";"1";"16 De Paladijns";"Artiest";"0";"16 De Paladijns";"16 De Paladijns";"16 De Paladijns";"16 De Paladijns";"16-de-paladijns";
"2963";"1";"17 Riekie";"Artiest";"0";"17 Riekie";"17 Riekie";"17 Riekie";"17 Riekie";"17-riekie";
"2964";"1";"18 Robbie";"Artiest";"0";"18 Robbie";"18 Robbie";"18 Robbie";"18 Robbie";"18-robbie";
"2965";"1";"19 Cowboy Johnny";"Artiest";"0";"19 Cowboy Johnny";"19 Cowboy Johnny";"19 Cowboy Johnny";"19 Cowboy Johnny";"19-cowboy-johnny";
"2966";"1";"20 De Westermont Vijf";"Artiest";"0";"20 De Westermont Vijf";"20 De Westermont Vijf";"20 De Westermont Vijf";"20 De Westermont Vijf";"20-de-westermont-vijf";
"2967";"1";"21 De Majona s";"Artiest";"0";"21 De Majona s";"21 De Majona s";"21 De Majona s";"21 De Majona s";"21-de-majona-s";
"2968";"1";"22 Little Ricky en De Heikrekels";"Artiest";"0";"22 Little Ricky en De Heikrekels";"22 Little Ricky en De Heikrekels";"22 Little Ricky en De Heikrekels";"22 Little Ricky en De Heikrekels";"22-little-ricky-en-de-heikrekels";
"2969";"1";"23 Evert Jan de Melkman";"Artiest";"0";"23 Evert Jan de Melkman";"23 Evert Jan de Melkman";"23 Evert Jan de Melkman";"23 Evert Jan de Melkman";"23-evert-jan-de-melkman";
"2970";"1";"24 Trudy";"Artiest";"0";"24 Trudy";"24 Trudy";"24 Trudy";"24 Trudy";"24-trudy";
"2971";"1";"25 The Happy Five";"Artiest";"0";"25 The Happy Five";"25 The Happy Five";"25 The Happy Five";"25 The Happy Five";"25-the-happy-five";
"2972";"1";"26 Marliesje Vincken";"Artiest";"0";"26 Marliesje Vincken";"26 Marliesje Vincken";"26 Marliesje Vincken";"26 Marliesje Vincken";"26-marliesje-vincken";
"2973";"1";"27 The Sunshines";"Artiest";"0";"27 The Sunshines";"27 The Sunshines";"27 The Sunshines";"27 The Sunshines";"27-the-sunshines";
"2974";"1";"28 Marliesje Willy Vincken";"Artiest";"0";"28 Marliesje Willy Vincken";"28 Marliesje Willy Vincken";"28 Marliesje Willy Vincken";"28 Marliesje Willy Vincken";"28-marliesjewilly-vincken";
"2975";"1";"29 Frieda en Frits";"Artiest";"0";"29 Frieda en Frits";"29 Frieda en Frits";"29 Frieda en Frits";"29 Frieda en Frits";"29-frieda-en-frits";
"2976";"1";"Peter en zijn Rockets Philips 6817064";"Artiest";"0";"Peter en zijn Rockets Philips 6817064";"Peter en zijn Rockets Philips 6817064";"Peter en zijn Rockets Philips 6817064";"Peter en zijn Rockets Philips 6817064";"peter-en-zijn-rockets-philips-6817064";
"2977";"1";"Orion combo";"Artiest";"0";"Orion combo";"Orion combo";"Orion combo";"Orion combo";"orion-combo";
"2978";"1";"Ad van Tilburg";"Artiest";"0";"Ad van Tilburg";"Ad van Tilburg";"Ad van Tilburg";"Ad van Tilburg";"ad-van-tilburg";
"2979";"1";"Wilhelm Tell";"Artiest";"0";"Wilhelm Tell";"Wilhelm Tell";"Wilhelm Tell";"Wilhelm Tell";"wilhelm-tell";
"2980";"1";"Jan van der Zande ";"Artiest";"0";"Jan van der Zande ";"Jan van der Zande ";"Jan van der Zande ";"Jan van der Zande ";"jan-van-der-zande";
"2981";"1";"Artiest Boemerang";"Artiest";"0";"Artiest Boemerang";"Artiest Boemerang";"Artiest Boemerang";"Artiest Boemerang";"artiest-boemerang";
"2982";"1";"The Paradise Birds";"Artiest";"0";"The Paradise Birds";"The Paradise Birds";"The Paradise Birds";"The Paradise Birds";"the-paradise-birds";
"2983";"1";"Bobby Prins";"Artiest";"0";"Bobby Prins";"Bobby Prins";"Bobby Prins";"Bobby Prins";"bobby-prins";
"2984";"1";"de Rodeo s";"Artiest";"0";"de Rodeo s";"de Rodeo s";"de Rodeo s";"de Rodeo s";"de-rodeo-s";
"2985";"1";"Jacques Herp";"Artiest";"0";"Jacques Herp";"Jacques Herp";"Jacques Herp";"Jacques Herp";"jacques-herp";
"2986";"1";"Dikke Leo";"Artiest";"0";"Dikke Leo";"Dikke Leo";"Dikke Leo";"Dikke Leo";"dikke-leo";
"2987";"1";"Artiest Ronny";"Artiest";"0";"Artiest Ronny";"Artiest Ronny";"Artiest Ronny";"Artiest Ronny";"artiest-ronny";
"2988";"1";"Artiest DOE MAAR";"Artiest";"0";"Artiest DOE MAAR";"Artiest DOE MAAR";"Artiest DOE MAAR";"Artiest DOE MAAR";"artiest-doe-maar";
"2989";"1";" Borker trio";"Artiest";"0";" Borker trio";" Borker trio";" Borker trio";" Borker trio";"borker-trio";
"2990";"1";"Peter Koelewijn rockets";"Artiest";"0";"Peter Koelewijn rockets";"Peter Koelewijn rockets";"Peter Koelewijn rockets";"Peter Koelewijn rockets";"peter-koelewijn-+-rockets";
"2991";"1";"Bettina Borgman";"Artiest";"0";"Bettina Borgman";"Bettina Borgman";"Bettina Borgman";"Bettina Borgman";"bettina-borgman";
"2992";"1";"DOE MAAR";"Artiest";"0";"DOE MAAR";"DOE MAAR";"DOE MAAR";"DOE MAAR";"doe-maar";
"2993";"1";"Jan Boezeroen";"Artiest";"0";"Jan Boezeroen";"Jan Boezeroen";"Jan Boezeroen";"Jan Boezeroen";"jan-boezeroen";
"2994";"1";"de Triola s";"Artiest";"0";"de Triola s";"de Triola s";"de Triola s";"de Triola s";"de-triola-s";
"2995";"1";"de Triola's";"Artiest";"0";"de Triola's";"de Triola's";"de Triola's";"de Triola's";"de-triola's";
"2996";"1";"Artiest Teenager";"Artiest";"0";"Artiest Teenager";"Artiest Teenager";"Artiest Teenager";"Artiest Teenager";"artiest-teenager";
"2997";"1";"Toon en de Ri-jo-co s";"Artiest";"0";"Toon en de Ri-jo-co s";"Toon en de Ri-jo-co s";"Toon en de Ri-jo-co s";"Toon en de Ri-jo-co s";"toon-en-de-ri-jo-co-s";
"2998";"1";"The Spotnicks";"Artiest";"0";"The Spotnicks";"The Spotnicks";"The Spotnicks";"The Spotnicks";"the-spotnicks";
"2999";"1";"Artiest Joekie en de Twinkle Lights";"Artiest";"0";"Artiest Joekie en de Twinkle Lights";"Artiest Joekie en de Twinkle Lights";"Artiest Joekie en de Twinkle Lights";"Artiest Joekie en de Twinkle Lights";"artiest-joekie-en-de-twinkle-lights";
"3000";"1";"Peter Hill";"Artiest";"0";"Peter Hill";"Peter Hill";"Peter Hill";"Peter Hill";"peter-hill";
"3001";"1";"Ellen and the Moodmakers";"Artiest";"0";"Ellen and the Moodmakers";"Ellen and the Moodmakers";"Ellen and the Moodmakers";"Ellen and the Moodmakers";"ellen-and-the-moodmakers";
"3002";"1";"ANDRÉ BRASSEUR DUBBELGOUD ";"Artiest";"0";"ANDRÉ BRASSEUR DUBBELGOUD ";"ANDRÉ BRASSEUR DUBBELGOUD ";"ANDRÉ BRASSEUR DUBBELGOUD ";"ANDRÉ BRASSEUR DUBBELGOUD ";"andré-brasseur-dubbelgoud";
"3003";"1";"The Jerry\'s";"Artiest";"0";"The Jerry\'s";"The Jerry\'s";"The Jerry\'s";"The Jerry\'s";"the-jerry\'s";
"3004";"1";"The Jerry s";"Artiest";"0";"The Jerry s";"The Jerry s";"The Jerry s";"The Jerry s";"the-jerry-s";
"3005";"1";"Rudi van Dalm";"Artiest";"0";"Rudi van Dalm";"Rudi van Dalm";"Rudi van Dalm";"Rudi van Dalm";"rudi-van-dalm";
"3006";"1";"Artiest Cowboy Gerard";"Artiest";"0";"Artiest Cowboy Gerard";"Artiest Cowboy Gerard";"Artiest Cowboy Gerard";"Artiest Cowboy Gerard";"artiest-cowboy-gerard";
"3007";"1";"Elmari zusjes Starlet st 0239";"Artiest";"0";"Elmari zusjes Starlet st 0239";"Elmari zusjes Starlet st 0239";"Elmari zusjes Starlet st 0239";"Elmari zusjes Starlet st 0239";"elmari-zusjes-starlet-st-0239";
"3008";"1";"Meat Loaf";"Artiest";"0";"Meat Loaf";"Meat Loaf";"Meat Loaf";"Meat Loaf";"meat-loaf";
"3009";"1";" Walkers";"Artiest";"0";" Walkers";" Walkers";" Walkers";" Walkers";"walkers";
"3010";"1";" Shocking Blue";"Artiest";"0";" Shocking Blue";" Shocking Blue";" Shocking Blue";" Shocking Blue";"shocking-blue";
"3011";"1";"Artiest Shocking Blue";"Artiest";"0";"Artiest Shocking Blue";"Artiest Shocking Blue";"Artiest Shocking Blue";"Artiest Shocking Blue";"artiest-shocking-blue";
"3012";"1";"Orion Combo 100% vinyl jbs 6";"Artiest";"0";"Orion Combo 100% vinyl jbs 6";"Orion Combo 100% vinyl jbs 6";"Orion Combo 100% vinyl jbs 6";"Orion Combo 100% vinyl jbs 6";"orion-combo-100%-vinyl-jbs-6";
"3013";"1";"Hommy Emmy 100 % vinyl JBS 7";"Artiest";"0";"Hommy Emmy 100 % vinyl JBS 7";"Hommy Emmy 100 % vinyl JBS 7";"Hommy Emmy 100 % vinyl JBS 7";"Hommy Emmy 100 % vinyl JBS 7";"hommyemmy-100-%-vinyl-jbs-7";
"3014";"1";"Ivo Franklin";"Artiest";"0";"Ivo Franklin";"Ivo Franklin";"Ivo Franklin";"Ivo Franklin";"ivo-franklin";
"3015";"1";"Artiest JANSKE";"Artiest";"0";"Artiest JANSKE";"Artiest JANSKE";"Artiest JANSKE";"Artiest JANSKE";"artiest-janske";
"3016";"1";"Artiest Arno Gradje";"Artiest";"0";"Artiest Arno Gradje";"Artiest Arno Gradje";"Artiest Arno Gradje";"Artiest Arno Gradje";"artiest-arnogradje";
"3017";"1";"Artiest Liesbeth";"Artiest";"0";"Artiest Liesbeth";"Artiest Liesbeth";"Artiest Liesbeth";"Artiest Liesbeth";"artiest-liesbeth";
"3018";"1";"De zingende voddeman JBS 1001";"Artiest";"0";"De zingende voddeman JBS 1001";"De zingende voddeman JBS 1001";"De zingende voddeman JBS 1001";"De zingende voddeman JBS 1001";"de-zingende-voddeman-jbs-1001";
"3019";"1";"De zingende Buschauffeur JBS 1002";"Artiest";"0";"De zingende Buschauffeur JBS 1002";"De zingende Buschauffeur JBS 1002";"De zingende Buschauffeur JBS 1002";"De zingende Buschauffeur JBS 1002";"de-zingende-buschauffeur-jbs-1002";
"3020";"1";"De zingende Buschauffeur  De Renjo's JBS 1003";"Artiest";"0";"De zingende Buschauffeur  De Renjo's JBS 1003";"De zingende Buschauffeur  De Renjo's JBS 1003";"De zingende Buschauffeur  De Renjo's JBS 1003";"De zingende Buschauffeur  De Renjo's JBS 1003";"de-zingende-buschauffeur-de-renjo's-jbs-1003";
"3021";"1";"Het Corona Trio JBS 1004";"Artiest";"0";"Het Corona Trio JBS 1004";"Het Corona Trio JBS 1004";"Het Corona Trio JBS 1004";"Het Corona Trio JBS 1004";"het-corona-trio-jbs-1004";
"3022";"1";"Ad van Hoorn JBS 1005";"Artiest";"0";"Ad van Hoorn JBS 1005";"Ad van Hoorn JBS 1005";"Ad van Hoorn JBS 1005";"Ad van Hoorn JBS 1005";"ad-van-hoorn-jbs-1005";
"3023";"1";"De Wiljando s JBS 1006";"Artiest";"0";"De Wiljando s JBS 1006";"De Wiljando s JBS 1006";"De Wiljando s JBS 1006";"De Wiljando s JBS 1006";"de-wiljando-s-jbs-1006";
"3024";"1";"De Wiljando s JBS 1007";"Artiest";"0";"De Wiljando s JBS 1007";"De Wiljando s JBS 1007";"De Wiljando s JBS 1007";"De Wiljando s JBS 1007";"de-wiljando-s-jbs-1007";
"3025";"1";"De Zwervers JBS1008";"Artiest";"0";"De Zwervers JBS1008";"De Zwervers JBS1008";"De Zwervers JBS1008";"De Zwervers JBS1008";"de-zwervers-jbs1008";
"3026";"1";"Wil Rivers JBS 1009";"Artiest";"0";"Wil Rivers JBS 1009";"Wil Rivers JBS 1009";"Wil Rivers JBS 1009";"Wil Rivers JBS 1009";"wil-rivers-jbs-1009";
"3027";"1";"JANNY EN FRE JBS 1010";"Artiest";"0";"JANNY EN FRE JBS 1010";"JANNY EN FRE JBS 1010";"JANNY EN FRE JBS 1010";"JANNY EN FRE JBS 1010";"janny-en-fre-jbs-1010";
"3028";"1";"De Wiltino s JBS 1011";"Artiest";"0";"De Wiltino s JBS 1011";"De Wiltino s JBS 1011";"De Wiltino s JBS 1011";"De Wiltino s JBS 1011";"de-wiltino-s-jbs-1011";
"3029";"1";"De zingende Buschauffeur JBS 1013";"Artiest";"0";"De zingende Buschauffeur JBS 1013";"De zingende Buschauffeur JBS 1013";"De zingende Buschauffeur JBS 1013";"De zingende Buschauffeur JBS 1013";"de-zingende-buschauffeur-jbs-1013";
"3030";"1";"Bianca JBS 1014";"Artiest";"0";"Bianca JBS 1014";"Bianca JBS 1014";"Bianca JBS 1014";"Bianca JBS 1014";"bianca-jbs-1014";
"3031";"1";"JANNY EN FRE JBS 1015";"Artiest";"0";"JANNY EN FRE JBS 1015";"JANNY EN FRE JBS 1015";"JANNY EN FRE JBS 1015";"JANNY EN FRE JBS 1015";"janny-en-fre-jbs-1015";
"3032";"1";"De Wiljando s JBS 1016";"Artiest";"0";"De Wiljando s JBS 1016";"De Wiljando s JBS 1016";"De Wiljando s JBS 1016";"De Wiljando s JBS 1016";"de-wiljando-s-jbs-1016";
"3033";"1";"Kirdy JBS 1017";"Artiest";"0";"Kirdy JBS 1017";"Kirdy JBS 1017";"Kirdy JBS 1017";"Kirdy JBS 1017";"kirdy-jbs-1017";
"3034";"1";"Duo de Boemerang s JBS 1018";"Artiest";"0";"Duo de Boemerang s JBS 1018";"Duo de Boemerang s JBS 1018";"Duo de Boemerang s JBS 1018";"Duo de Boemerang s JBS 1018";"duo-de-boemerang-s-jbs-1018";
"3035";"1";"Duo Paradiso JBS 1019";"Artiest";"0";"Duo Paradiso JBS 1019";"Duo Paradiso JBS 1019";"Duo Paradiso JBS 1019";"Duo Paradiso JBS 1019";"duo-paradiso-jbs-1019";
"3036";"1";"Willy Jackson JBS 1020";"Artiest";"0";"Willy Jackson JBS 1020";"Willy Jackson JBS 1020";"Willy Jackson JBS 1020";"Willy Jackson JBS 1020";"willy-jackson-jbs-1020";
"3037";"1";"Wilma JBS 1021";"Artiest";"0";"Wilma JBS 1021";"Wilma JBS 1021";"Wilma JBS 1021";"Wilma JBS 1021";"wilma-jbs-1021";
"3038";"1";"Wendy JBS 1022";"Artiest";"0";"Wendy JBS 1022";"Wendy JBS 1022";"Wendy JBS 1022";"Wendy JBS 1022";"wendy-jbs-1022";
"3039";"1";"De Beja s JBS 1023";"Artiest";"0";"De Beja s JBS 1023";"De Beja s JBS 1023";"De Beja s JBS 1023";"De Beja s JBS 1023";"de-beja-s-jbs-1023";
"3040";"1";"JANNY EN FRE JBS 1024";"Artiest";"0";"JANNY EN FRE JBS 1024";"JANNY EN FRE JBS 1024";"JANNY EN FRE JBS 1024";"JANNY EN FRE JBS 1024";"janny-en-fre-jbs-1024";
"3041";"1";"De Honoloeloe Singers JBS 1025";"Artiest";"0";"De Honoloeloe Singers JBS 1025";"De Honoloeloe Singers JBS 1025";"De Honoloeloe Singers JBS 1025";"De Honoloeloe Singers JBS 1025";"de-honoloeloe-singers-jbs-1025";
"3042";"1";"Hilda JBS 1026";"Artiest";"0";"Hilda JBS 1026";"Hilda JBS 1026";"Hilda JBS 1026";"Hilda JBS 1026";"hilda-jbs-1026";
"3043";"1";"Groninger Gerard JBS 1027";"Artiest";"0";"Groninger Gerard JBS 1027";"Groninger Gerard JBS 1027";"Groninger Gerard JBS 1027";"Groninger Gerard JBS 1027";"groninger-gerard-jbs-1027";
"3044";"1";"Atlantic JBS 1028";"Artiest";"0";"Atlantic JBS 1028";"Atlantic JBS 1028";"Atlantic JBS 1028";"Atlantic JBS 1028";"atlantic-jbs-1028";
"3045";"1";"JANNY EN FRE JBS 1029";"Artiest";"0";"JANNY EN FRE JBS 1029";"JANNY EN FRE JBS 1029";"JANNY EN FRE JBS 1029";"JANNY EN FRE JBS 1029";"janny-en-fre-jbs-1029";
"3046";"1";"Regento Stars JBS 1030";"Artiest";"0";"Regento Stars JBS 1030";"Regento Stars JBS 1030";"Regento Stars JBS 1030";"Regento Stars JBS 1030";"regento-stars-jbs-1030";
"3047";"1";"Pinto JBS 1031";"Artiest";"0";"Pinto JBS 1031";"Pinto JBS 1031";"Pinto JBS 1031";"Pinto JBS 1031";"pinto-jbs-1031";
"3048";"1";"Gonda JBS 1032";"Artiest";"0";"Gonda JBS 1032";"Gonda JBS 1032";"Gonda JBS 1032";"Gonda JBS 1032";"gonda-jbs-1032";
"3049";"1";"Liesbeth JBS 1033";"Artiest";"0";"Liesbeth JBS 1033";"Liesbeth JBS 1033";"Liesbeth JBS 1033";"Liesbeth JBS 1033";"liesbeth-jbs-1033";
"3050";"1";"Rick Duval JBS 1034";"Artiest";"0";"Rick Duval JBS 1034";"Rick Duval JBS 1034";"Rick Duval JBS 1034";"Rick Duval JBS 1034";"rick-duval-jbs-1034";
"3051";"1";"Duo John en Jan JBS 1035";"Artiest";"0";"Duo John en Jan JBS 1035";"Duo John en Jan JBS 1035";"Duo John en Jan JBS 1035";"Duo John en Jan JBS 1035";"duo-john-en-jan-jbs-1035";
"3052";"1";"Terry West JBS1037";"Artiest";"0";"Terry West JBS1037";"Terry West JBS1037";"Terry West JBS1037";"Terry West JBS1037";"terry-west-jbs1037";
"3053";"1";"Hilliena JBS 1038";"Artiest";"0";"Hilliena JBS 1038";"Hilliena JBS 1038";"Hilliena JBS 1038";"Hilliena JBS 1038";"hilliena-jbs-1038";
"3054";"1";"Duo Paradiso JBS 1039";"Artiest";"0";"Duo Paradiso JBS 1039";"Duo Paradiso JBS 1039";"Duo Paradiso JBS 1039";"Duo Paradiso JBS 1039";"duo-paradiso-jbs-1039";
"3055";"1";"Liesbeth JBS 1040";"Artiest";"0";"Liesbeth JBS 1040";"Liesbeth JBS 1040";"Liesbeth JBS 1040";"Liesbeth JBS 1040";"liesbeth-jbs-1040";
"3056";"1";"Irma JBS 1041";"Artiest";"0";"Irma JBS 1041";"Irma JBS 1041";"Irma JBS 1041";"Irma JBS 1041";"irma-jbs-1041";
"3057";"1";"Gonda JBS 1042";"Artiest";"0";"Gonda JBS 1042";"Gonda JBS 1042";"Gonda JBS 1042";"Gonda JBS 1042";"gonda-jbs-1042";
"3058";"1";"De Beja s JBS 1043";"Artiest";"0";"De Beja s JBS 1043";"De Beja s JBS 1043";"De Beja s JBS 1043";"De Beja s JBS 1043";"de-beja-s-jbs-1043";
"3059";"1";"De zingende Buschauffeur JBS 1044";"Artiest";"0";"De zingende Buschauffeur JBS 1044";"De zingende Buschauffeur JBS 1044";"De zingende Buschauffeur JBS 1044";"De zingende Buschauffeur JBS 1044";"de-zingende-buschauffeur-jbs-1044";
"3060";"1";"JANNY EN FRE JBS 1045";"Artiest";"0";"JANNY EN FRE JBS 1045";"JANNY EN FRE JBS 1045";"JANNY EN FRE JBS 1045";"JANNY EN FRE JBS 1045";"janny-en-fre-jbs-1045";
"3061";"1";"JANNY EN FRE JBS 1046";"Artiest";"0";"JANNY EN FRE JBS 1046";"JANNY EN FRE JBS 1046";"JANNY EN FRE JBS 1046";"JANNY EN FRE JBS 1046";"janny-en-fre-jbs-1046";
"3062";"1";"Bartje Boterbloem JBS 1047";"Artiest";"0";"Bartje Boterbloem JBS 1047";"Bartje Boterbloem JBS 1047";"Bartje Boterbloem JBS 1047";"Bartje Boterbloem JBS 1047";"bartje-boterbloem-jbs-1047";
"3063";"1";"The Coming Stars JBS 1048";"Artiest";"0";"The Coming Stars JBS 1048";"The Coming Stars JBS 1048";"The Coming Stars JBS 1048";"The Coming Stars JBS 1048";"the-coming-stars-jbs-1048";
"3064";"1";"De Rio JBS 1049";"Artiest";"0";"De Rio JBS 1049";"De Rio JBS 1049";"De Rio JBS 1049";"De Rio JBS 1049";"de-rio-jbs-1049";
"3065";"1";"Regento Stars JBS 1050";"Artiest";"0";"Regento Stars JBS 1050";"Regento Stars JBS 1050";"Regento Stars JBS 1050";"Regento Stars JBS 1050";"regento-stars-jbs-1050";
"3066";"1";"JANNY EN FRE JBS 1051";"Artiest";"0";"JANNY EN FRE JBS 1051";"JANNY EN FRE JBS 1051";"JANNY EN FRE JBS 1051";"JANNY EN FRE JBS 1051";"janny-en-fre-jbs-1051";
"3067";"1";"Alex en Diana JBS 1052";"Artiest";"0";"Alex en Diana JBS 1052";"Alex en Diana JBS 1052";"Alex en Diana JBS 1052";"Alex en Diana JBS 1052";"alex-en-diana-jbs-1052";
"3068";"1";"Golden Melody's JBS 1053";"Artiest";"0";"Golden Melody's JBS 1053";"Golden Melody's JBS 1053";"Golden Melody's JBS 1053";"Golden Melody's JBS 1053";"golden-melody's-jbs-1053";
"3069";"1";"Noordzee Kwartet JBS 1054";"Artiest";"0";"Noordzee Kwartet JBS 1054";"Noordzee Kwartet JBS 1054";"Noordzee Kwartet JBS 1054";"Noordzee Kwartet JBS 1054";"noordzee-kwartet-jbs-1054";
"3070";"1";"JTJ TRio JBS 1055";"Artiest";"0";"JTJ TRio JBS 1055";"JTJ TRio JBS 1055";"JTJ TRio JBS 1055";"JTJ TRio JBS 1055";"jtj-trio-jbs-1055";
"3071";"1";"JANNY EN FRE JBS 1056";"Artiest";"0";"JANNY EN FRE JBS 1056";"JANNY EN FRE JBS 1056";"JANNY EN FRE JBS 1056";"JANNY EN FRE JBS 1056";"janny-en-fre-jbs-1056";
"3072";"1";"Time Out JBS 1057";"Artiest";"0";"Time Out JBS 1057";"Time Out JBS 1057";"Time Out JBS 1057";"Time Out JBS 1057";"time-out-jbs-1057";
"3073";"1";"De Esperando's JBS 1058";"Artiest";"0";"De Esperando's JBS 1058";"De Esperando's JBS 1058";"De Esperando's JBS 1058";"De Esperando's JBS 1058";"de-esperando's-jbs-1058";
"3074";"1";"JTJ TRio JBS 1059";"Artiest";"0";"JTJ TRio JBS 1059";"JTJ TRio JBS 1059";"JTJ TRio JBS 1059";"JTJ TRio JBS 1059";"jtj-trio-jbs-1059";
"3075";"1";"JTJ TRio JBS 1060";"Artiest";"0";"JTJ TRio JBS 1060";"JTJ TRio JBS 1060";"JTJ TRio JBS 1060";"JTJ TRio JBS 1060";"jtj-trio-jbs-1060";
"3076";"1";"Mario JBS 1061";"Artiest";"0";"Mario JBS 1061";"Mario JBS 1061";"Mario JBS 1061";"Mario JBS 1061";"mario-jbs-1061";
"3077";"1";"JANNY EN FRE JBS 1062";"Artiest";"0";"JANNY EN FRE JBS 1062";"JANNY EN FRE JBS 1062";"JANNY EN FRE JBS 1062";"JANNY EN FRE JBS 1062";"janny-en-fre-jbs-1062";
"3078";"1";"De Esperando's JBS 1063";"Artiest";"0";"De Esperando's JBS 1063";"De Esperando's JBS 1063";"De Esperando's JBS 1063";"De Esperando's JBS 1063";"de-esperando's-jbs-1063";
"3079";"1";"Time Out JBS 1064";"Artiest";"0";"Time Out JBS 1064";"Time Out JBS 1064";"Time Out JBS 1064";"Time Out JBS 1064";"time-out-jbs-1064";
